binaryname,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,j_m,j_msigcom,h_m,h_msigcom,ks_m,ks_msigcom,w1mpro,w1mpro_error,w2mpro,w2mpro_error,w3mpro,w3mpro_error,w4mpro,w4mpro_error,g_mean_psf_mag,g_mean_psf_mag_error,r_mean_psf_mag,r_mean_psf_mag_error,i_mean_psf_mag,i_mean_psf_mag_error,z_mean_psf_mag,z_mean_psf_mag_error,y_mean_psf_mag,y_mean_psf_mag_error
BK Peg,2852979962499356288,356.78515073664283,0.03252374059701057,26.566584309969542,0.024302340697781675,3.1386766218176296,0.0526217109261089,9.829087,2206537.588550314,690.1902133015051,10.133629,1222091.8995317093,855.825564077433,9.395988,1400789.0481020208,798.8260093065908,8.892,0.02,8.643,0.024,8.611,0.019,8.576,0.022,8.602,0.02,8.554,0.024,8.442,0.321,,,,,,,,,,
RT CrB,1272930282497618048,234.5126785529977,0.01474237670483693,29.48720881865528,0.02417879970088022,2.492891377324075,0.02850544721486208,10.01325,1862284.6628328024,1369.4026099482774,10.400013,956202.7421711823,1441.4203606061762,9.492164,1282042.261441721,2082.5760326331015,8.863,0.02,8.532,0.059,8.478,0.021,8.415,0.022,8.452,0.019,8.382,0.02,8.404,0.2,10.5305995941162,0.00843300018459558,10.3292999267578,0.106201998889446,10.0410003662109,0.028991999104619,10.0750999450684,0.0217889994382858,11.6900997161865,0.00100000004749745
LV Her,4557402515188596224,263.88506324746373,0.013271192981734452,23.175110251530477,0.018009347119183422,2.672229317945381,0.02411928181723548,10.88534,834085.4469132125,476.971350548192,11.200994,457254.17743455095,576.724049174289,10.43921,535900.1676573515,487.8802517681374,9.905,0.018,9.665,0.025,9.631,0.018,9.592,0.023,9.622,0.02,9.59,0.043,8.238,,,,,,,,,,,
WW Aur,3436234803310568448,98.11313458725851,0.08276349686922331,32.45482322164164,0.07944990753780436,10.997896686183989,0.08292470293280749,5.802115,9.005345580017446E7,235525.89562024802,5.891159,6.082633886418323E7,412421.5461721531,5.778834,3.919534940636406E7,1139756.508537496,5.498,0.021,5.499,0.026,5.481,0.021,5.549,0.148,5.417,0.058,5.579,0.015,5.271,0.043,,,,,,,,,,
AG Per,170654035816903680,61.732632952063184,0.3836799540282914,33.44634164465548,0.32974185890188823,0.04556215215257134,0.47168348151125833,6.7925715,3.616743964735344E7,157423.29000916143,6.6979284,2.8932361264905516E7,129301.54748726479,6.6744475,1.717864526227543E7,112348.51788630984,,,,,,,6.776,0.065,6.747,0.021,6.855,0.016,6.773,0.093,,,,,,,,,,
GX Gem,938680396921810304,101.53806394634292,0.05777733120793649,34.414614550378936,0.05019138247239715,1.2746307167900708,0.06796360102873147,11.195924,626580.453950929,288.575543753207,11.510665,343786.9232085377,401.535496384269,10.738168,406912.36346950935,599.2332975324701,10.249,0.018,9.966,0.017,9.927,0.017,9.926,0.023,9.939,0.02,9.886,0.063,8.731,,,,,,,,,,,
HS Aur,954726772696225536,102.82701501141467,0.03468813357570472,47.673352215338376,0.03692033511958584,7.365929580777147,0.036810526464036555,9.919621,2030008.1254658815,1217.098166803018,10.316792,1032378.078354246,1483.486040132933,9.396341,1400333.2946781497,1260.7336468643766,8.801,0.021,8.439,0.017,8.375,0.023,8.31,0.022,8.346,0.02,8.308,0.023,8.567,0.354,,,,,,,,,,
V478 Cyg,2061089113838868480,304.91142858456726,0.022693347704809276,38.33586191324432,0.028459877811912324,0.44987783408027887,0.030506582075079426,8.528396,7311190.158715089,10175.517370617456,8.84623,4000032.394889145,32357.169224046676,8.079036,4711440.328616003,16586.151218139203,7.909,0.018,7.794,0.016,7.759,0.021,7.358,0.029,7.441,0.021,7.581,0.023,7.677,0.235,,,,,,,,,,
KIC 8410637,2105415749007167616,282.15870519928365,0.01737189039838494,44.48606352640025,0.019898247555388313,0.7894515181856284,0.02004917134024814,10.758777,937206.9467402507,383.70882737572964,11.329469,406226.08811493515,274.6049282819955,10.074067,750138.0957763719,371.1944309108312,9.172,0.032,8.637,0.04,8.492,0.011,8.418,0.023,8.518,0.02,8.401,0.022,8.331,0.214,,,,,,,,,,
Y Cyg,1869256701670871168,313.014919451629,0.03121738408518712,34.65756621119879,0.03402113923460973,0.5762874109808129,0.043380129029612566,7.2460976,2.381810960070005E7,13712.043517031503,7.218842,1.7906818155054454E7,22766.714570886557,7.3180337,9496302.439186381,17100.83214910246,7.416,0.021,7.539,0.016,7.563,0.018,7.664,0.027,7.745,0.02,7.822,0.017,7.875,0.166,,,,,,,,,,
AP And,1927062769572959744,357.3779931895634,0.03496727602331124,45.78921703785921,0.02014671815312507,2.8663264774927444,0.04145921637365088,10.900666,822393.4974466596,926.9522786439825,11.214968,451406.97792897397,645.2546255626038,10.46742,522155.9973192712,501.84485979941013,9.971,0.022,9.738,0.024,9.672,0.019,9.679,0.023,9.708,0.02,9.643,0.032,9.002,0.386,,,,,,,,,,
KIC 11285625,2131979370116194432,285.2161694851351,0.01793644894163528,49.08943752562925,0.01930563600982304,1.8822553421794919,0.01900776848542754,10.087757,1738775.791799517,1113.1600673385026,10.299905,1048560.3413326733,2140.8973375038368,9.773103,989752.8313844308,1811.5469033817901,9.387,0.022,9.246,0.018,9.197,0.014,9.177,0.023,9.2,0.02,9.163,0.026,8.914,0.312,,,,,,,,,,
AR Aur,181983575426242944,79.57881254109394,0.08192456474228607,33.76723997672501,0.0637517918963226,6.7165143323384715,0.09471624309086074,6.128113,6.6696218663414404E7,51487.86110126964,6.121731,4.918842805201991E7,197900.74547151956,6.185383,2.6953482393463764E7,111243.5657267388,6.19,0.019,6.254,0.017,6.265,0.023,6.319,0.088,6.251,0.026,6.353,0.016,6.279,0.065,,,,,,,,,,
CO And,401078859445256192,17.853537819880206,0.048833221055066864,46.963657558954914,0.0338115676009105,2.5437347827958283,0.06239262603801015,10.508286,1180407.141363855,403.2106624904361,10.834027,641127.489850471,453.62913180538635,10.0434675,771580.2834747462,808.7667006065171,9.474,0.023,9.302,0.018,9.185,0.019,9.137,0.023,9.159,0.019,9.114,0.026,9.017,0.397,,,,,,,,,,
V453 Cyg,2059095424401407232,301.64567579206056,0.026336948534830075,35.7406021442896,0.03306475663448506,0.6587812084027341,0.03849919248604696,8.2102785,9800201.862115018,11415.152734239706,8.324726,6466435.632034162,21394.415401614628,8.012629,5008602.075474505,14152.537109970042,7.805,0.026,7.848,0.033,7.833,0.024,7.877,0.025,7.952,0.019,7.295,0.018,4.946,0.041,,,,,,,,,,
V364 Lac,1928855351478724736,343.06179647337973,0.033005605507306614,38.745721596275985,0.03336911041029976,2.4363162444550843,0.04450425247578891,8.29567,9058961.011809867,4596.705796013018,8.410923,5972909.154871835,5159.323437168709,8.119057,4540936.811731309,4501.0440455530415,7.882,0.02,7.822,0.024,7.782,0.027,7.712,0.027,7.756,0.021,7.757,0.019,7.765,0.145,,,,,,,,,,
HP Aur,185452500248885248,77.5906914353794,0.13203335281274983,35.796197028439934,0.07372657732217787,5.211625702502606,0.08143956694164696,10.97587,767358.3244066082,3204.8685495821646,11.383017,386677.4104621351,4756.676518979316,10.455071,528128.0525184325,6691.9664095855715,9.757,0.022,9.378,0.032,9.292,0.019,9.265,0.024,9.277,0.02,9.232,0.036,8.445,,,,,,,,,,,
IQ Per,246797724301643904,59.936250662267625,0.04197361467349421,48.15117852316756,0.024381256610945923,3.2595364786418695,0.05140077067007093,7.6818714,1.5944019149296636E7,11435.124864187452,7.7261047,1.1223112840161322E7,20991.17039839965,7.6336646,7100715.891642326,39790.71142723327,7.561,0.03,7.591,0.031,7.544,0.018,7.587,0.032,7.623,0.02,7.708,0.019,7.814,0.162,,,,,,,,,,
MY Cyg,2054756957652357888,305.014212176404,0.02476548662698788,33.943071362017626,0.031290266140980995,3.99213962699951,0.03862138016934576,8.233296,9594620.912974881,5017.940717099071,8.418885,5929270.501141824,10085.546741204065,7.958294,5265630.174393092,7490.817723222187,7.692,0.044,7.577,0.04,7.522,0.024,7.466,0.027,7.515,0.02,7.519,0.019,7.252,0.099,,,,,,,,,,
BD+36 3317,2093905374093557504,283.5926490301127,0.03120988826584576,36.852059414721545,0.036411636480372454,2.7526464290525645,0.038975224608236624,8.762667,5892231.362562885,2517.6891896187344,8.797201,4184799.2099459902,5348.064607417629,8.724012,2601136.5590482936,3157.504013168453,8.917,0.02,8.922,0.02,8.934,0.015,8.558,0.021,8.632,0.021,8.475,0.033,7.655,0.133,,,,,,,,,,
KIC 5738698,2075087133820361088,299.719758386392,0.04690733149810905,40.90392772810581,0.04942392970266546,1.0335036529073571,0.05435402943938745,11.906159,325748.61319230817,211.0941559196074,12.165225,188133.13589332098,367.82625266498184,11.4732065,206769.00057956428,328.9295254285346,11.002,0.02,10.768,0.022,10.747,0.018,10.695,0.023,10.713,0.021,10.579,0.057,8.785,,,,,,,,,,,
IT Cas,1944868020357285504,355.50569881804535,0.026453760315521817,51.74352692159399,0.023546981736831108,2.0148611660609475,0.03582975345547341,11.034245,727191.0371407625,555.9260774793188,11.301116,416973.94917577744,382.94597380183916,10.636524,446846.32292479405,345.2714540222006,10.212,0.02,9.957,0.021,9.915,0.016,9.887,0.023,9.921,0.02,9.968,0.05,8.905,,,,12.0144996643066,0.0,,,11.0525999069214,0.00100000004749745,11.1922998428345,0.00100000004749745
CV Boo,1387290280744129152,231.58129207939538,0.017955380961441496,36.981532827274314,0.021502210038167713,3.9719769272684706,0.023780977795171118,10.714046,976625.6949014621,2237.777886848061,11.056714,522239.3522189383,3658.2675962090393,10.231767,648726.2389630311,4411.23109806909,9.57,0.021,9.282,0.019,9.201,0.017,9.257,0.023,9.277,0.021,9.203,0.024,9.215,0.408,,,,,,,,,,
KIC 3858884,2052393901006466048,293.6954048410375,0.021997540174848174,38.982754004615074,0.029178444131526777,1.808958900895295,0.031702685502533454,9.2421055,3788821.1391983605,2721.385694555737,9.454961,2283340.9133762,6429.284553530686,8.927605,2156383.748941549,3968.5819580687785,8.594,0.024,8.439,0.02,8.4,0.017,8.342,0.023,8.37,0.02,8.362,0.02,8.195,0.21,,,,,,,,,,
HD 71636,904854746325664000,127.48465104997987,0.056981228116397546,37.07095422585481,0.04510472584090267,8.24321102950573,0.06621514809495087,7.781775,1.4542405950989626E7,3934.054682760353,8.014875,8602114.9654785,17002.571343389453,7.459232,8338256.681024048,28058.557467570645,7.074,0.02,6.922,0.021,6.886,0.034,6.853,0.063,6.857,0.022,6.903,0.017,6.844,0.102,,,,,,,,,,
V432 Aur,189291376380052992,84.38523988613935,0.05511277156083516,37.086887443303794,0.05154715819239991,7.870192201328175,0.0738679231343867,7.8446255,1.3724488287950713E7,10435.705380729489,8.162945,7505462.545651343,21053.49045670024,7.3975453,8825714.754872521,17389.557020227567,6.864,0.018,6.587,0.02,6.518,0.016,6.594,0.074,6.523,0.024,6.535,0.015,6.574,0.084,,,,,,,,,,
FL Lyr,2130371574879626112,288.02025930076223,0.020651330465778533,46.32432808835351,0.023908615161519126,7.405985640681033,0.02514934108006997,9.20067,3936209.888442639,2142.4457052746857,9.512216,2166051.8663860126,4867.488560216258,8.760895,2514259.6758760544,6696.715044867114,8.243,0.026,7.985,0.033,7.899,0.02,7.877,0.027,7.904,0.02,7.897,0.019,7.784,0.131,,,,,,,,,,
RW Lac,1988664351633304320,341.2380217747109,0.023199956759690058,49.65757882179185,0.022593874555283982,4.8079185759169185,0.02928295873330485,10.438132,1259196.27317071,324.39000816709404,10.810413,655223.984949751,424.98667326801325,9.926206,859578.5817470796,531.9334147501606,9.299,0.02,8.961,0.017,8.871,0.018,8.849,0.024,8.881,0.02,8.825,0.023,8.575,,,,,,,,,,,
V570 Per,435997252803241856,47.39589242447773,0.02956921879905012,48.62446782453185,0.02473886336328913,8.351228075232974,0.04350894355114527,7.9409757,1.2559027253633596E7,4271.409887251653,8.196699,7275711.520219796,5162.617569417064,7.5703616,7527025.572786004,9279.826817561892,7.16,0.026,6.948,0.017,6.882,0.02,6.89,0.061,6.887,0.021,6.92,0.016,6.777,0.071,,,,,,,,,,
V1061 Cyg,2169527108088349952,316.83564710609113,0.027788280619780385,52.04971426718114,0.031200005837287683,5.8881252623809734,0.03186643596394537,9.091422,4352887.541962609,1309.5093941536486,9.39993,2402057.526241125,2626.4194361032405,8.654581,2772909.108170205,4207.70314387787,8.122,0.021,7.917,0.024,7.831,0.021,7.772,0.024,7.842,0.02,7.822,0.018,7.802,0.15,,,,,,,,,,
IM Per,445958725070708864,47.926282277160276,0.03762898958561692,52.21172426983096,0.030805214069859605,1.5169070265052693,0.049576661873429434,10.946028,788742.4527856947,1106.8445522733912,11.349303,398872.23385850014,1710.9476760159152,10.405916,552588.072949693,2569.7642577234183,9.72,0.023,9.539,0.022,9.423,0.019,9.405,0.023,9.428,0.021,9.465,0.039,8.374,,,,,,,,,,,
ZZ UMa,1049087857023628672,157.51347638216927,0.020186633790776252,61.81150065070167,0.025943626505898515,5.590102538276545,0.033689212409162284,9.6986685,2488163.5001067235,1165.9608444498144,10.033663,1339954.9983137045,2329.911315462955,9.2322,1628876.3417091074,2195.2094638794,8.713,0.029,8.412,0.021,8.334,0.014,8.301,0.023,8.351,0.019,8.29,0.021,8.624,0.319,,,,,,,,,,
AH Cep,2211503747619173376,341.97056589654505,0.02963422734115963,65.06216426645247,0.03338557216121977,1.1018107880997225,0.03384475038048095,6.81054,3.557379337040481E7,207747.73026475072,6.9919953,2.20677044007144E7,422658.4328716556,6.545515,1.9344697371074144E7,312712.5068011016,6.444,0.021,6.41,0.047,6.422,0.016,6.308,0.081,6.23,0.027,6.408,0.015,6.301,0.047,,,,,,,,,,
CW Cep,2207689919741675264,346.00924464748965,0.49441657159040264,63.396867216168644,0.4178375711335594,1.039768661033912,0.48536858838770075,7.535629,1.824293600863433E7,56381.150876544474,7.734443,1.1137251176672049E7,40354.47024374361,7.1625314,1.0958607358603623E7,99519.32382506055,6.704,0.023,6.668,0.04,6.585,0.027,6.521,0.073,6.369,0.025,6.071,0.015,5.321,0.034,,,,,,,,,,
MU Cas,429158427922077184,3.9648116415735357,0.030042675036400776,60.43156199549462,0.029908781673202295,0.4528786442709448,0.03971457788240924,10.741293,952421.3857731764,417.07713911680815,10.901879,602287.0793546911,781.9729146945848,10.458137,526639.2989636085,531.5321612277797,10.127,0.022,10.083,0.021,10.02,0.016,10.015,0.023,10.038,0.02,9.989,0.046,8.756,0.215,,,,,,,,,,
WX Cep,2205311401215067904,337.8158304345048,0.0244704537264853,63.52265636444383,0.024714182071597555,2.2851548490650444,0.02716976316937228,8.828378,5546196.208017517,5772.255864403979,9.0782,3230539.915108986,9215.2959830345,8.465276,3301091.1696627573,10906.370132813357,7.996,0.027,7.948,0.042,7.832,0.016,7.794,0.027,7.843,0.02,7.726,0.02,7.358,0.079,,,,,,,,,,
UZ Dra,2261658485914111744,291.47947271992507,0.023763335947795925,68.93546425553772,0.02748269681339231,5.35769925573132,0.025216364909889658,9.442043,3151583.3228381607,1149.6803910877811,9.713306,1799835.0088876197,2391.5062374978065,9.058591,1911311.6334664878,4334.309126215708,8.616,0.02,8.426,0.02,8.372,0.019,8.341,0.022,8.38,0.02,8.375,0.019,8.418,0.149,,,,,,,,,,
EI Cep,2283626831313777536,322.1174453617495,0.024776160734411194,76.4034387750842,0.024691063925970043,5.022120136521998,0.026947911641873355,7.4887114,1.9048543505592532E7,6845.7490967411795,7.703414,1.1460134628919996E7,28707.28829876777,7.194621,1.0639460960959673E7,26809.910504265674,6.84,0.02,6.734,0.034,6.67,0.018,7.968,0.387,6.655,0.022,6.709,0.016,6.585,0.052,,,,,,,,,,
VZ Cep,2224632053890971520,327.54622366781587,0.02649460274194308,71.44387701211065,0.028392680304366133,4.384710513140385,0.031097236162238816,9.601035,2722276.733053248,1601.1170895364014,9.850771,1585794.3723021965,3545.744613386283,9.232432,1628526.970736237,3579.245439659115,8.784,0.021,8.637,0.03,8.592,0.021,8.563,0.023,8.586,0.02,8.535,0.02,8.391,0.149,,,,,,,,,,
EY Cep,568183560050534016,55.01737101364471,0.024364638150007518,81.01910644232439,0.02260432305370538,3.3411634791328555,0.028372906443182213,9.715373,2450173.836851726,637.4042415392362,9.925033,1480955.756117003,2638.3652721735666,9.40463,1389683.6880402213,1876.4344795245656,9.035,0.03,8.977,0.031,8.841,0.02,8.83,0.023,8.852,0.019,8.804,0.023,8.161,0.202,,,,,,,,,,
SZ Cam,476270508301993344,61.95534352986415,0.07283032375515608,62.33294996627392,0.06565657426517932,0.8838189402938313,0.08753309499429014,6.842394,3.454528832002072E7,65553.70598428784,7.082003,2.031206035004959E7,88979.85469919957,6.4865775,2.042382134718692E7,119285.27725486371,6.122,0.018,6.1,0.02,6.063,0.018,5.907,0.116,5.739,0.03,5.548,0.017,5.84,0.04,,,,,,,,,,
AY Cam,1137428256197026688,126.46567662044248,0.01815736969046508,77.21854650282587,0.022725696163036168,1.9182379849923952,0.02427629424728248,9.646468,2610712.5334691852,1175.2509459082873,9.835355,1608471.3214418604,2740.880791394687,9.367231,1438386.3917106544,3281.9160568233196,9.127,0.063,8.946,0.03,8.914,0.021,8.927,0.022,8.955,0.019,8.982,0.027,8.426,,,,,,,,,,,
RT And,1995525922664199296,347.79202229819697,0.028742456881898183,53.02574831821503,0.028179909609395194,10.126661035105691,0.04241188463575248,8.841871,5477693.576866238,19719.32004181059,9.163224,2987208.762824274,25149.478753613235,8.362027,3630422.0784393423,21507.962421142845,8.037,0.018,7.78,0.02,7.687,0.02,7.43,0.028,7.496,0.019,7.471,0.017,7.485,0.103,,,,,,,,,,
V396 Cas,2009263805058016256,348.3998839754385,0.031843678521773784,56.73810370252693,0.02473294063509693,1.808705955709526,0.03476593330145568,9.532507,2899636.28135692,933.0953552847651,9.646861,1913422.2020153233,2723.715097758236,9.359492,1448675.3559516615,2082.579065302001,9.112,0.026,9.042,0.033,9.027,0.021,9.024,0.023,9.047,0.02,9.048,0.029,9.238,0.472,,,,,,,,,,
EK Cep,2224084016064993536,325.3398740452062,0.03691229575986567,69.69283012581656,0.03371736629776931,5.787857156155109,0.03853469907996784,7.840684,1.3774403417772602E7,4775.468384086559,7.900146,9560858.81153661,12532.938260403398,7.7726045,6247788.010280923,15706.315596046748,7.632,0.026,7.581,0.026,7.559,0.031,7.511,0.032,7.572,0.021,7.571,0.017,7.539,0.08,,,,,,,,,,
V459 Cas,522461335380031104,17.87458835840313,0.02989900762429896,61.14668443992838,0.037729087271532874,1.304491362007604,0.048285902123895205,10.290471,1442639.0611431294,462.0882072544628,10.434813,926041.0691726935,714.9460841725265,10.059131,760528.7705385615,714.9149681989658,9.748,0.022,9.705,0.023,9.638,0.016,9.637,0.024,9.653,0.02,9.628,0.042,8.716,,,,,,,,,,,
BF Dra,2265323776643747456,282.74742253757296,0.024840572870797273,69.88275302260118,0.023937843825373565,2.8786474267853066,0.024992619553135788,9.701615,2481420.3622541935,789.6157708244426,9.972097,1418130.3543940836,2332.4399805950366,9.312287,1513049.8759448135,3313.8253366694025,8.837,0.035,8.634,0.02,8.596,0.019,8.578,0.021,8.604,0.018,8.592,0.016,8.673,0.157,,,,,,,,,,
WW Cam,476214501927713792,67.85539816755113,0.024866849961827815,64.36260577707347,0.021332427974227693,2.1831426317248024,0.029503096629114576,10.045636,1807555.756016021,1205.5541639264834,10.327987,1021787.9154752189,1351.9423192966763,9.637539,1121379.5090916,2171.2394834903143,9.182,0.018,9.117,0.018,9.036,0.02,9.048,0.023,9.038,0.021,9.051,0.03,8.351,,,,,,,,,,,
YZ Cas,539047365205648128,11.412564577458035,0.08323510859159526,74.98797186407319,0.07071129991018647,10.47287122135316,0.09392934548606843,5.614194,1.0707020579405314E8,184785.3189569688,5.6892266,7.325962656142633E7,422241.4159736263,5.7405987,4.060023712394621E7,1119564.9886777592,5.585,0.019,5.644,0.038,5.602,0.021,5.436,0.169,5.282,0.068,5.479,0.015,5.42,0.035,,,,,,,,,,
BG Ind,6410494364389396992,329.6253755477707,0.15933044370335972,-59.01201566326359,0.1769789633227381,19.591714542997227,0.2027538818954949,5.9962935,7.530588398879969E7,100110.70815757058,6.29773,4.182763102636947E7,408546.28012717504,5.626168,4.511290750410751E7,272070.881263829,5.206,0.02,4.993,0.036,4.877,0.026,4.907,0.215,4.615,0.092,4.897,0.014,4.821,0.028,,,,,,,,,,
UX Men,4648210527690481152,82.51390764409172,0.025609198617765318,-76.24867701656167,0.024845682326011306,9.643709553030845,0.024661071045534767,8.088259,1.0965858508613471E7,3757.3536013263865,8.3910055,6083494.026959342,9425.574474377278,7.6706405,6862964.618567453,13103.655076301571,7.195,0.027,6.976,0.027,6.915,0.024,6.903,0.076,6.87,0.02,6.894,0.015,6.871,0.067,,,,,,,,,,
TZ Men,4614607631277672448,82.55754936285105,0.046223845376722375,-84.7849158888518,0.06436771381161724,8.130092498826087,0.04947757353512758,6.1556435,6.502629086814489E7,49814.319573765104,6.1738796,4.688171045735613E7,80914.80087172204,6.1876097,2.6898255834142666E7,213266.7734724402,6.137,0.029,6.119,0.04,6.117,0.026,6.213,0.087,6.068,0.035,6.188,0.015,6.14,0.042,,,,,,,,,,
GV Car,5338661808024777856,166.38694539076496,0.05294245247914965,-58.73048960682996,0.04755815258731794,2.0332045304746647,0.06317607131932403,8.905648,5165198.763053024,3855.392084296252,8.940775,3666447.3450341,4006.520568541795,8.867237,2279676.3619022057,3188.6539024246317,8.804,0.026,8.817,0.049,8.774,0.019,8.733,0.022,8.748,0.019,8.517,0.044,7.753,0.168,,,,,,,,,,
DW Car,5254273672117339520,160.79194709043475,0.023136524026150643,-60.0365866222181,0.02518301403525794,0.27156154224531937,0.028362994891544986,9.670625,2553267.4846431557,6027.6548450658065,9.691678,1836047.9397557927,16993.929781529012,9.619678,1139979.0830893626,4593.103646186762,10.045,0.022,10.113,0.025,10.052,0.025,9.729,0.023,9.81,0.021,8.998,0.154,4.748,,,,,,,,,,,
CV Vel,5323799125200766592,135.1582233165473,0.03408661257728333,-51.555554356698366,0.041327429978930894,1.5339413719715274,0.034899887156033704,6.6494637,4.1263004703066215E7,32765.575745290105,6.59283,3.187302529401189E7,60008.076332841985,6.7919197,1.5417008653049517E7,93153.02278520739,6.963,0.024,7.016,0.033,7.061,0.02,7.04,0.031,7.229,0.023,7.307,0.019,7.139,0.089,,,,,,,,,,
TV Nor,5981555804445480064,241.03852022036372,0.0365560324027452,-51.54451224118841,0.02172932760963701,3.281612907202333,0.04832579143555608,8.946398,4974934.508418425,1581.510214970439,9.096791,3175694.070291881,4158.004085588168,8.709625,2635832.345348104,2732.0882297127614,8.373,0.02,8.322,0.017,8.267,0.02,8.178,0.024,8.221,0.02,8.068,0.076,6.706,,,,,,,,,,,
RS Cha,5209024611054646272,130.80020750387942,0.03637402454206324,-79.06998109630517,0.04312059226744369,10.09596275461348,0.03887342105149739,5.992386,7.557739130354284E7,119666.35824003391,6.2237716,4.477612896685222E7,899432.9222854559,5.879753,3.571632262009365E7,904211.9560590889,5.994,0.03,5.877,0.038,5.852,0.034,5.511,0.161,5.334,0.056,5.497,0.015,5.451,0.031,,,,,,,,,,
V539 Ara,5921022161722960512,267.61832250978995,0.12018656722631577,-53.612458902058975,0.10987323462572489,1.9727064311627078,0.14444900354170664,5.629539,1.0556762267000833E8,113581.64845758824,5.5988297,7.962022655708253E7,119949.1894632082,5.746317,4.0386974014845856E7,208706.0986551274,5.876,0.027,5.914,0.047,5.968,0.034,6.058,0.117,6.002,0.042,6.132,0.01,6.072,0.054,,,,,,,,,,
QX Car,5257663878763302272,148.641160070122,0.05493363841808418,-58.42127025261364,0.04922856305383093,1.3406618330831703,0.06113410709026412,6.584442,4.3809614093077675E7,37629.19083490396,6.51028,3.439086928287865E7,54332.24063838001,6.756502,1.592821628652298E7,62526.90657217963,7.006,0.021,7.143,0.034,7.176,0.024,7.135,0.039,7.28,0.02,7.233,0.017,5.972,0.044,,,,,,,,,,
RZ Cha,5198334162577657984,160.6000330007398,0.023765806155704852,-82.03746761885014,0.027661444169861753,5.724438947832859,0.02465751852551639,7.920686,1.2795933847260825E7,8022.441859589548,8.19497,7287311.904787693,30418.306395639407,7.549003,7676562.06394636,16900.11282536359,7.131,0.03,6.941,0.036,6.904,0.038,6.891,0.061,6.87,0.02,6.894,0.016,6.823,0.057,,,,,,,,,,
EP Cru,6073146153828910080,189.31971433699005,0.028151189855765323,-56.78817513588903,0.030417716698518792,0.9045557054493417,0.0445521368601249,8.64604,6560400.409066087,2402.5339248345567,8.646049,4809899.280558677,3849.914739145241,8.654992,2771859.403629071,2264.5498901171286,8.698,0.029,8.72,0.042,8.731,0.019,8.738,0.023,8.787,0.02,8.761,0.033,7.813,0.138,,,,,,,,,,
V636 Cen,6091428734401256448,214.24114818982295,0.047547512904820136,-49.94521165853801,0.07473905826371657,13.982232131290676,0.08431919222292504,8.494315,7544320.810847932,6297.577365646894,8.84827,3992520.551882247,9752.89988688849,8.011749,5012658.686315805,11475.184250777893,7.474,0.03,7.126,0.027,7.06,0.021,7.043,0.034,7.06,0.02,7.016,0.018,6.939,0.087,,,,,,,,,,
GG Lup,6005849243285423104,229.73478539743152,0.17295631084857882,-40.78831521656105,0.1377331228927921,6.974393502695797,0.17568775777176415,5.599401,1.0853902503769748E8,532742.6012791774,5.511916,8.625588109405507E7,173927.04693116664,5.852051,3.663934320708887E7,1033623.3611413185,6.117,0.02,6.254,0.034,6.212,0.021,5.968,0.089,5.892,0.04,6.039,0.015,5.996,0.05,,,,,,,,,,
AI Phe,4933562966514402176,17.392819118731094,0.017331643584506447,-46.26557317385885,0.017349866079693403,5.833603934059001,0.026183333575315337,8.420679,8073739.192504345,1602.641155478644,8.800786,4171005.2314016344,3083.27125270759,7.912817,5490870.784320037,4158.117385779064,7.301,0.023,6.935,0.034,6.819,0.026,6.729,0.072,6.79,0.022,6.807,0.017,6.802,0.075,,,,,,,,,,
SZ Cen,5870888245478382464,207.64615015312893,0.022721471018073394,-58.49924554269612,0.03190399793649453,1.9640315983832397,0.04206028650890636,8.464226,7756325.930857012,26574.135871802937,8.631609,4874295.478171307,49991.11498417394,8.207571,4185425.641255275,38571.84548061465,8.346,0.026,8.219,0.036,8.154,0.021,,,,,,,,,,,,,,,,,,
zeta Phe,4913847589156808960,17.09632621990923,0.5693333598642305,-55.24562488700102,0.552578773512501,14.675230612132415,0.7331196918303863,4.27303,3.682429144999766E8,1.0336701140710853E7,3.9165058,3.749323532323681E8,1604277.1996958307,4.0992403,1.8410769078169873E8,2201267.9336350393,4.216,0.45,4.215,0.35,4.204,0.41,,,,,,,,,,,,,,,,,,
V4089 Sgr,6737592476585914880,293.53538031104006,0.07172259036381921,-40.034651280540594,0.05424880828593663,6.695584172580686,0.09179833860411701,5.880242,8.380105146451908E7,189242.05135410564,5.9427266,5.8004904657718934E7,329137.1667975476,5.7998247,3.84448488439309E7,254684.64364572562,5.685,0.021,5.629,0.036,5.597,0.024,,,,,,,,,,,,,,,,,,
V1647 Sgr,4037354234303734528,269.8061898079461,0.06435700085490013,-36.93889139683159,0.07070045989537883,5.712111286081708,0.09127649151277464,7.0537124,2.843553111483682E7,15048.227427165582,7.1089597,1.9813964016515378E7,45485.31938669734,7.0149827,1.255379141236992E7,38302.94718787521,6.912,0.024,6.928,0.049,6.887,0.021,,,,,,,,,,,,,,,,,,
